Username,sentiment_sum,tweet_count
Ethan_Ng7,0.07500000000000001,1
Etoile_cc,0.0,1
EugeneChebanov,0.20000000000000004,1
Eunicedwong,0.009166666666666667,1
Euro_Printer,0.5,1
Ex_Hunting,0.13636363636363635,1
ExplorerDavid,0.46628787878787875,11
Exxenews,0.0,1
FF_2TheMoon,0.1575,1
FOMOmental,0.0625,1
FW7IKQkQx7p4jq2,0.0,1
F_F_Coin,0.0,1
Faisalu55574370,0.0,2
Faizankhn786,1.0,1
Fakk2,0.75,2
Fantom_Space,0.4083333333333334,1
Farhan04066721,0.0,2
FarhatNasim15,0.3,1
FatNostril,0.11666666666666665,1
FbioCorre,0.35,1
FelderJab,0.846875,2
FemgirlVR,0.0,1
Fifantastic__,1.2833333333333334,4
Fifi53115475,0.0,2
FinderOul,0.0,1
FireantCrypto,0.0,1
FishesCrypto,0.14444444444444446,1
FlaG_exe,-0.25,2
FleetStreet4,0.0,1
FleshArchon,-0.08571428571428573,1
Floightwood,0.0,1
FooolThe,-0.15,2
ForAirdrop3,0.85,1
ForeignShyguy,-0.125,1
Forexlegends,0.0,1
FortWayneMusic_,1.2431818181818182,5
FrCryptoPlanet,0.0,1
Fran11188,0.0,1
Frankli03133680,0.0,1
Franzferdinan57,-0.5,1
Fredrick_LA,0.0,1
Freedomfirst51,0.16666666666666666,1
FrogNationAlice,0.0,1
G4b_9,-0.019480519480519487,1
GCryptoBen,0.5,8
GEMinitrades_,0.3516666666666667,1
GTNFT,0.0,1
GZlikovski,0.0,1
GaboDousat,0.13636363636363635,1
Gabriel54364058,0.1,1
GabrielNg8,0.5,1
GabrieleGrossi3,0.0,1
GagalTelo,0.6,2
GainsAssociates,1.869940476190476,9
GameFiReviews,0.4000000000000001,1
GassGuerilla,0.25,1
Gator2Crypto,0.6000000000000001,1
Gaurav16770100,0.1,1
Gaurav33591939,0.3,1
GelosGlobal,-0.3295454545454546,4
Gems_Radar,0.140625,1
GemsbyGary,0.5,2
GeoMadrugada,1.0,1
Georgee852,0.6987575757575757,3
GeorgiStoyanovv,0.6,1
GerCryptoDude,0.24751984126984122,2
GerardRoger18,0.0,1
GigaBitcoin,0.0,1
GigaTutorial,0.3,1
Gingerfever2,0.75,6
GmanArg,0.375,1
GodOfNirvana,0.325,2
Gomnon,0.13333333333333333,1
GonzooiR,0.18522727272727274,1
GopalSe20892884,0.3,1
Gost_Tm,0.0,1
GradyTheGiver,0.13636363636363635,1
GrantMatik,0.25,1
GrantMbonu,0.3,1
Grifflet25,0.0,1
Gsigma12,0.5335858585858586,3
GuillaumeAtani1,0.0,1
GuillermoJoya00,0.7000000000000001,4
Gunnertwin,0.9099999999999999,1
Guy0990,0.34659090909090906,1
HAZEBUSTER480,-0.4,1
HEXPoppa,4.6875,10
HODLSEASON,-0.016666666666666607,2
HabichtJonathan,0.13636363636363635,1
HaenSolo,-0.03300000000000003,2
HamariGomen,0.0,1
HanasakuShijin,-0.15555555555555559,1
HappyAn72561759,0.6000000000000001,1
HardZix,0.0,1
HariArifN2,0.3,1
Hariharan49,-0.05,1
HarleySwann,-0.75,2
HaroldOrlarey,0.0,1
Harshkus2,0.1,1
Harun01724,0.1,1
Hasan35006327,0.3,1
Hasan_Basri41,0.0,1
HaseebImtiazz,0.575,1
HashRaters,0.15714285714285714,2
Hassanneco,0.0,1
HazardCyrus,0.34375,1
Hectortillaa,0.0,1
HermanW87746287,0.0,1
HershelHODL,0.5666666666666667,3
HexaFenix,0.0,1
HexagonalView,0.75,1
Hi_Im_Dali,0.13636363636363635,1
HidayatRGN,0.1,1
Hieu02064865,0.3308035714285714,1
Hijacker021,0.0,1
Himansh08921913,0.1,1
HireSatoshi,1.0,1
HiroT_1978,0.0,1
Hiro_Onoda01,0.0,1
Hironet11,0.375,1
HisGarip,0.0,1
Hisdudeness121,0.8,1
HmiedJ,0.0,1
Hoangcuc16,0.3,1
Hobbjw,2.279419642857143,13
Hodl_My_Noddle,0.0,1
HodlersDigest,0.13636363636363635,1
HodlingBitcoin,0.9363636363636364,3
HodlnautCody,0.24545454545454548,1
HottestTrader,0.0,1
HouqiaoC,0.1,1
Howie44523587,0.0,1
Hrushimed1,0.3333333333333333,1
Hubbub707,0.3,1
Hudson,-0.05,1
HugoFloter,0.0,1
HumblegrowthHI,0.390625,1
HustlinGeek,0.0,1
HypeLord40121,0.24375,1
IAmTonyMarty,0.0,1
ICO_Analytics,0.525,3
ICOreviewRU,0.0,1
ICart_Crypto,0.075,1
IamSiaKing,0.3,1
Ilija_2821,0.0,1
IndexJust,0.03125,1
Indian_Yoshi,0.35000000000000003,1
Indodaku,0.0,1
IneyZeR201,0.0,2
Intergalacticbg,0.0,2
InvestEarth2,0.14444444444444446,1
InvestirBTCFR,0.0,1
InvestirCrypto,0.375,1
Iqbalraju9,0.1,1
IrfanGondal_iG,0.5,1
IsaacCiuMe,0.0,1
IshaanGoyal7,-0.4,1
Island_watabe,0.0,1
Itanolas1,0.1,1
ItsGoku01,0.25,2
ItsMojotastic,0.30000000000000004,1
ItsRichRich,0.0,1
IvoDaidzic,0.0,1
J3susD235,0.0,1
JD_Invest,0.16666666666666666,1
JIM78592639_2,0.0,1
JIMMYCMU,0.3,1
JPS73028701,0.6,3
JaNeDochNicht,0.0,1
Jack876543,0.0,2
JackInTheBox906,0.01666666666666668,1
Jackafrosty,0.5,1
Jacoby_T_Nelson,0.43333333333333335,1
Jahn000,0.8,1
JamesC_Crypto,0.38,2
JamesCrypto01,0.52,1
JaroslavKapar3,0.20666666666666667,1
Jasim98049464,0.3,1
JavierNFT,0.5833333333333334,2
JayJoeGeorge,0.0,1
JayRancier,0.0,1
Jaycryp25013348,0.25,1
JeevanSSD,-0.07142857142857142,1
Jefe_1_93,0.1,1
Jeff95864105,0.0,4
JenniferBasi10,0.0,2
Jentyme,0.0,1
JeremyPirri,0.2,1
JeroenC35,0.0,1
JeromeMouwahah,0.0,1
JessiBr73096971,0.0,1
JesterAUT,-0.4,1
Jet44421750,1.0499999999999998,2
JhonnyBooyz,1.4282251082251083,6
JineshJ2907,0.375,1
Jjatin4,0.7,2
Jk33y1,0.1,1
JltkG,0.0,1
JoelGriiyo,0.0,1
JoeyDaMan7,0.3014814814814815,2
JoeyRocket_,0.06666666666666667,1
Johann9444,0.0,1
JohnAppelseed99,0.0,1
JohnTitFromUran,0.5,1
JohnTradesCryp1,0.6204545454545455,2
John_Jo90,0.0,1
JohnnyCurlz,0.34545454545454546,3
Jojo98453544,0.0,1
JojoNotFound_,0.0,1
Jojoladouille_,0.0,1
Jon3CFIT,0.0,3
Jonatha42579791,0.0,1
JonnyCryptos,0.2681818181818182,1
JonnyG305,0.0,1
Jordanquicken,0.0,1
JoseGui88307127,0.0,1
JoshLon49064385,0.5,1
JoshMcGruff,0.65,3
JoyDeFiBoy,0.0,1
JpnAlone,0.0,1
Js_Sn_,0.19166666666666665,1
JunaidK01481570,0.3,1
JunaidMaliks,0.1,1
JunpeiFrance,0.21428571428571427,1
Jymbaloo,0.0,1
KIKSG1,0.0,2
KIOKASUIGETSU,0.5,2
KOR899,0.16666666666666666,1
KW_Odds,0.09374999999999999,2
KaC1903,0.0,1
Kaaiwaan,0.0,3
Kaisernabi8,0.1,1
KamikazeTurk,0.5225,4
KamilMlodziano1,0.0,1
KarlHutch99,0.15409090909090908,1
KarlMonk001,0.03333333333333333,1
Kartik9955,0.1,1
Karu_nft,0.8,1
KavaSousa,0.0,1
KazYRA,0.0,1
KenIrwinMagic,0.5,2
Keremceylan323,0.0,1
Keshav86125870,-0.125,1
KestrelTee,0.0,1
KevinIs_,0.0,1
KevinzLe,0.7666666666666666,1
KeyyserrSoze,0.0,1
KgLewis6,0.0,1
KhumiyadaSunil,0.3,1
KichtaCrypto,0.35,2
KilatPetir10,0.1,1
KimberlyE1231,0.0,1
King_Pablo7,1.0773809523809523,6
